metric,mean,mean_ci_lower,mean_ci_upper,var,var_ci_lower,var_ci_upper
steady_state_error,-0.09960806702738655,-0.10805661951320518,-0.09115951454156791,0.001712341369404074,0.0002119728250270284,0.0032127099137811196
mean_square_error,0.2554059580223378,0.1596251189434188,0.3511867971012568,0.245307678913274,0.018329878185967263,0.47228547964058076
overshoot,-0.06997384757589119,-0.13075692698681599,-0.009190768164966397,0.09073065480322157,-0.026926536310664148,0.2083878459171073
rise_time,1377.5949591836736,1104.4099868342578,1650.7799315330894,1942207.8659837998,-1252943.074409804,5137358.806377403
settling_time,1292.2835652173912,992.144475159957,1592.4226552748255,2276241.0591196846,-1283810.2114125863,5836292.3296519555
comfort_time,12584.43058,12042.996750841468,13125.864409158532,7359548.790743838,1520563.1982070552,13198534.38328062
energy_consumed,1.5969742249999999,1.3256586474431096,1.8682898025568901,1.929284180820847,1.0456277188502874,2.8129406427914065
variance_after_settling,0.0019818163314924784,0.0014949955306908353,0.0024686371322941215,6.010143839979156e-06,1.8284060700084038e-06,1.0191881609949909e-05
recovery_time,320.4610658436214,-29.084993257991243,670.007124945234,2360105.269801106,-2038567.8066238672,6758778.346226079
number_of_oscillations,0.09881000000000004,0.03365530488704549,0.16396469511295458,0.11103343434343435,0.029368802105039435,0.19269806658182925
