metric,values
steady_state_error,"[np.float64(0.1516902562571275), np.float64(0.18124939473231264), np.float64(0.08108825207133832), np.float64(0.08023011469306941), np.float64(0.08128747993426023), np.float64(0.19746933240678027), np.float64(0.08075274358474992), np.float64(0.08103072069135542), np.float64(0.08134497499170976), np.float64(0.08083594353046802), np.float64(0.08118060195070773), np.float64(0.08095304893947662), np.float64(0.08074807976543101), np.float64(0.08171226767957862), np.float64(0.08027962802190086), np.float64(0.08170283953112467), np.float64(0.08003316564033686), np.float64(0.0819711999642528), np.float64(0.08093437704754552), np.float64(0.0797796869663093), np.float64(0.09768807034513549), np.float64(0.08012617527825408), np.float64(0.08024376769914386), np.float64(0.08043607892313501), np.float64(0.08092042424803987), np.float64(0.08001468528333266), np.float64(0.0812777340069656), np.float64(0.08189755917151843), np.float64(0.0817360173751357), np.float64(0.08101167186027361), np.float64(0.08199531769918213), np.float64(0.08131625817361343), np.float64(0.08191780220747631), np.float64(0.12772961843031577), np.float64(0.08194995480214405), np.float64(0.08020698425414709), np.float64(0.08210065925396379), np.float64(0.081217564199325), np.float64(0.08103526318623695), np.float64(0.08103835117593015), np.float64(0.08085668624163048), np.float64(0.08039013398305223), np.float64(0.08166541721639564), np.float64(0.08172244439370761), np.float64(0.0807848477184909), np.float64(0.08206180847704708), np.float64(0.08166954330075094), np.float64(0.08088782868645679), np.float64(0.1099008666584356), np.float64(0.08448324215445502), np.float64(0.08154379166070834), np.float64(0.08197653226292277), np.float64(0.08133530264421296), np.float64(0.080576125005876), np.float64(0.10479768562687586), np.float64(0.081063700089943), np.float64(0.08198917070242229), np.float64(0.08106925621150586), np.float64(0.08106505408119924), np.float64(0.0811454303622035), np.float64(0.0803695022195332), np.float64(0.08038758416551164), np.float64(0.0818578180511471), np.float64(0.08055934499232821), np.float64(0.08342243283536163), np.float64(0.08095207828280282), np.float64(0.0815010801067423), np.float64(0.0801579391610328), np.float64(0.08099663218443175), nan, np.float64(0.08206304631510103), np.float64(0.08090436360134937), np.float64(0.08091927611716163), np.float64(0.08086641639049037), np.float64(0.08081234453887523), np.float64(0.08140129210650077), np.float64(0.08011515155706135), np.float64(0.08171565477490299), np.float64(0.09781904913941575), np.float64(0.0809731864278485), nan, np.float64(0.08079101700747518), np.float64(0.08110540788294682), np.float64(0.0810569069479374), np.float64(0.08135085512492296), np.float64(0.08100405494765359), np.float64(0.08114580153779061), np.float64(0.08219979385499779), np.float64(0.08106846847554441), np.float64(0.08110662201472357), np.float64(0.08085496484414183), np.float64(0.08088437792321258), np.float64(0.0810017296728202), np.float64(0.08101712158872751), np.float64(0.07974346386913356), np.float64(0.08137450201734424), np.float64(0.07970666650194279), np.float64(0.0811230074529734), np.float64(0.08105709527360222), np.float64(0.08120873291717803)]"
mean_square_error,"[np.float64(0.23173951872106846), np.float64(0.24993817162180293), np.float64(0.23569199441472619), np.float64(0.2210558296014233), np.float64(0.23611666857346744), np.float64(0.24908273558960944), np.float64(0.24288849033998106), np.float64(0.21504414289182686), np.float64(0.2127105944725081), np.float64(0.2160825142694138), np.float64(0.23826914465529697), np.float64(0.2301363329229834), np.float64(0.21726419115707216), np.float64(0.20990035777234015), np.float64(0.22047397426824483), np.float64(0.2100614045325905), np.float64(0.22168449405915025), np.float64(0.20793608463280447), np.float64(0.231114093450816), np.float64(0.22345070644479847), np.float64(0.21089702691658102), np.float64(0.22100100131301986), np.float64(0.22047776201949787), np.float64(0.21958558422394037), np.float64(0.23049879701270581), np.float64(0.2224932115146674), np.float64(0.21378014463745001), np.float64(0.20905455972436401), np.float64(0.20936994780445042), np.float64(0.227843916753789), np.float64(0.20870094920260776), np.float64(0.23626187794341974), np.float64(0.20880161296239985), np.float64(0.2168230325385239), np.float64(0.20818659964898903), np.float64(0.22000020814457277), np.float64(0.2074218329960286), np.float64(0.23695721718487986), np.float64(0.22702024312879274), np.float64(0.2293927170980069), np.float64(0.23267196493504994), np.float64(0.22519047880857956), np.float64(0.21111549609467878), np.float64(0.20994882741008644), np.float64(0.23292414265832967), np.float64(0.20740402341124997), np.float64(0.21186517868227484), np.float64(0.23292320294953814), np.float64(0.21430580018696527), np.float64(0.2105221035081418), np.float64(0.21096108239795672), np.float64(0.2080136898124702), np.float64(0.23612570329175023), np.float64(0.21866515356673374), np.float64(0.21040219579092284), np.float64(0.23556362947327883), np.float64(0.2087523732090722), np.float64(0.214375476539981), np.float64(0.23893322880401135), np.float64(0.23856021423641635), np.float64(0.22004059517607855), np.float64(0.2194535502399856), np.float64(0.2099396645374905), np.float64(0.2186377986245241), np.float64(0.20873915230448237), np.float64(0.2152576591763617), np.float64(0.2110842883153329), np.float64(0.22020371334784222), np.float64(0.2271340335390761), np.float64(0.2918673255154734), np.float64(0.20800637555278267), np.float64(0.23096599597595924), np.float64(0.23094563591103442), np.float64(0.21562478420932776), np.float64(0.23282636181586083), np.float64(0.2124178555868146), np.float64(0.22081771198516018), np.float64(0.20989088282635202), np.float64(0.2165137707293122), np.float64(0.23919028540321063), np.float64(0.34565676676076496), np.float64(0.23306594020664864), np.float64(0.23872819701149203), np.float64(0.21468589594686271), np.float64(0.23630747469736432), np.float64(0.23604860629438754), np.float64(0.2389668844199723), np.float64(0.20593230807424673), np.float64(0.23565504585460234), np.float64(0.21533980121602647), np.float64(0.21653707511168915), np.float64(0.23165491940428562), np.float64(0.22752221652279508), np.float64(0.23949106304614026), np.float64(0.22383851263968957), np.float64(0.23490297974546767), np.float64(0.22447121783857243), np.float64(0.23805507749264143), np.float64(0.22895240344146056), np.float64(0.23700534572461354)]"
overshoot,"[np.float64(0.25288783823941685), np.float64(0.2952621875628516), np.float64(0.10066913157413637), np.float64(0.10035553824729959), np.float64(0.10066860697804714), np.float64(0.3775136317512988), np.float64(0.10065221300448002), np.float64(0.10035076722988379), np.float64(0.10035470495733989), np.float64(0.10033999061857912), np.float64(0.1006641504074004), np.float64(0.10048808446850899), np.float64(0.10034091540762802), np.float64(0.10036898817691053), np.float64(0.10033588722797049), np.float64(0.10036739491476965), np.float64(0.10033276142860359), np.float64(0.10037726413281689), np.float64(0.1005256485743189), np.float64(0.10031820814913317), np.float64(0.20746334896301732), np.float64(0.10032183920936077), np.float64(0.10032734816161337), np.float64(0.10032997585705061), np.float64(0.10048996205574667), np.float64(0.10035925709433968), np.float64(0.10037311652803638), np.float64(0.10038664911212436), np.float64(0.1003693780625099), np.float64(0.10050972021730331), np.float64(0.10037759076766406), np.float64(0.10066703604559635), np.float64(0.10037381391566669), np.float64(0.20456786436352914), np.float64(0.10037634769287607), np.float64(0.10032369816730125), np.float64(0.1003845486580417), np.float64(0.10066735716327457), np.float64(0.1005040193273885), np.float64(0.1005006187770654), np.float64(0.10050757105199182), np.float64(0.10050834189036095), np.float64(0.10038109675286933), np.float64(0.10036785502910561), np.float64(0.10049446141619), np.float64(0.10037975045133862), np.float64(0.10149886085201842), np.float64(0.10047984727998482), np.float64(0.16102455640918834), np.float64(0.11216352906399152), np.float64(0.10036348319675881), np.float64(0.1003760811819916), np.float64(0.10066574408426732), np.float64(0.10034144226438002), np.float64(0.14001374721806314), np.float64(0.10066831855112923), np.float64(0.10140220228316821), np.float64(0.10034823864128839), np.float64(0.10065662360665328), np.float64(0.10066020554097577), np.float64(0.10035134192019868), np.float64(0.10033741004002295), np.float64(0.10038176791181286), np.float64(0.10033443914784357), np.float64(0.11456667375836105), np.float64(0.10034380201005888), np.float64(0.10036277934671034), np.float64(0.10032674121657692), np.float64(0.1005055827815795), np.float64(0.5442882311117501), np.float64(0.10038124861102915), np.float64(0.1005087588622473), np.float64(0.10066863753019106), np.float64(0.10034386945892493), np.float64(0.10048420137076164), np.float64(0.10036053198115624), np.float64(0.10032437859030097), np.float64(0.10036917596260864), np.float64(0.15414051237178228), np.float64(0.10065596791991993), np.float64(0.6720900037800561), np.float64(0.10048070266099884), np.float64(0.10065804223387431), np.float64(0.10034685219579842), np.float64(0.1006693925739306), np.float64(0.10047478805768151), np.float64(0.1006660976578928), np.float64(0.10038646958582831), np.float64(0.10047731319804143), np.float64(0.10038175695865093), np.float64(0.10037020228514848), np.float64(0.10048354516140989), np.float64(0.10050461721948523), np.float64(0.10066597263147514), np.float64(0.1003147095160557), np.float64(0.10065515994768148), np.float64(0.10031649514667151), np.float64(0.10066806243856163), np.float64(0.10049288041119908), np.float64(0.10066611125068903)]"
rise_time,"[1965.0, 2077.0, 2131.0, 1993.0, 2137.0, 1913.0, 2201.0, 1935.0, 1913.0, 1947.0, 2157.0, 2081.0, 1955.0, 1887.0, 1987.0, 1887.0, 1999.0, 1867.0, 2091.0, 2017.0, 1861.0, 1993.0, 1987.0, 1979.0, 2083.0, 2007.0, 1923.0, 1877.0, 1881.0, 2057.0, 1873.0, 2139.0, 1877.0, 1847.0, 1871.0, 1985.0, 1861.0, 2147.0, 2051.0, 2073.0, 2103.0, 2033.0, 1897.0, 1887.0, 2105.0, 1863.0, 1903.0, 2105.0, 1885.0, 1911.0, 1897.0, 1869.0, 2139.0, 1969.0, 1845.0, 2131.0, 1875.0, 1931.0, 2165.0, 2161.0, 1983.0, 1977.0, 1885.0, 1969.0, 1871.0, 1939.0, 1899.0, 1987.0, 2051.0, 2001.0, 1867.0, 2087.0, 2089.0, 1941.0, 2105.0, 1909.0, 1991.0, 1887.0, 1989.0, 2169.0, 2009.0, 2109.0, 2163.0, 1933.0, 2139.0, 2135.0, 2163.0, 1849.0, 2133.0, 1937.0, 1949.0, 2095.0, 2053.0, 2169.0, 2021.0, 2127.0, 2025.0, 2155.0, 2069.0, 2147.0]"
settling_time,"[np.float64(1721.0), np.float64(1811.0), np.float64(1875.0), np.float64(1753.0), np.float64(1879.0), np.float64(1679.0), np.float64(1937.0), np.float64(1701.0), np.float64(1683.0), np.float64(1713.0), np.float64(1897.0), np.float64(1829.0), np.float64(1721.0), np.float64(1659.0), np.float64(1749.0), np.float64(1661.0), np.float64(1757.0), np.float64(1643.0), np.float64(1839.0), np.float64(1773.0), np.float64(1637.0), np.float64(1753.0), np.float64(1747.0), np.float64(1741.0), np.float64(1831.0), np.float64(1765.0), np.float64(1691.0), np.float64(1651.0), np.float64(1655.0), np.float64(1809.0), np.float64(1649.0), np.float64(1881.0), np.float64(1651.0), np.float64(1625.0), np.float64(1645.0), np.float64(1745.0), np.float64(1637.0), np.float64(1887.0), np.float64(1803.0), np.float64(1823.0), np.float64(1849.0), np.float64(1789.0), np.float64(1669.0), np.float64(1661.0), np.float64(1851.0), np.float64(1639.0), np.float64(1675.0), np.float64(1853.0), np.float64(1653.0), np.float64(1677.0), np.float64(1669.0), np.float64(1645.0), np.float64(1881.0), np.float64(1733.0), np.float64(1623.0), np.float64(1875.0), np.float64(1649.0), np.float64(1699.0), np.float64(1905.0), np.float64(1901.0), np.float64(1745.0), np.float64(1739.0), np.float64(1659.0), np.float64(1733.0), np.float64(1647.0), np.float64(1705.0), np.float64(1669.0), np.float64(1747.0), np.float64(1803.0), nan, np.float64(1643.0), np.float64(1835.0), np.float64(1837.0), np.float64(1707.0), np.float64(1851.0), np.float64(1679.0), np.float64(1751.0), np.float64(1659.0), np.float64(1743.0), np.float64(1907.0), nan, np.float64(1853.0), np.float64(1903.0), np.float64(1701.0), np.float64(1881.0), np.float64(1877.0), np.float64(1903.0), np.float64(1625.0), np.float64(1875.0), np.float64(1705.0), np.float64(1715.0), np.float64(1843.0), np.float64(1807.0), np.float64(1907.0), np.float64(1777.0), np.float64(1871.0), np.float64(1783.0), np.float64(1895.0), np.float64(1821.0), np.float64(1887.0)]"
comfort_time,"[12680, 12590, 12526, 12648, 12522, 12722, 12465, 12700, 12718, 12688, 12504, 12572, 12680, 12742, 12652, 12740, 12644, 12758, 12563, 12628, 12764, 12648, 12654, 12660, 12570, 12636, 12710, 12750, 12746, 12592, 12752, 12520, 12750, 12776, 12756, 12656, 12764, 12514, 12598, 12578, 12552, 12613, 12732, 12740, 12550, 12762, 12726, 12549, 12748, 12724, 12732, 12756, 12520, 12668, 12778, 12527, 12752, 12702, 12497, 12500, 12657, 12662, 12742, 12668, 12754, 12696, 12732, 12654, 12598, 11725, 12758, 12566, 12564, 12694, 12550, 12722, 12650, 12742, 12658, 12494, 9000, 12548, 12498, 12700, 12520, 12524, 12498, 12776, 12526, 12696, 12686, 12558, 12594, 12494, 12624, 12530, 12619, 12506, 12580, 12514]"
energy_consumed,"[np.float64(0.5682537269767242), np.float64(0.52842103170625), np.float64(1.0976611456785197), np.float64(0.7852916330454363), np.float64(1.0826019451536997), np.float64(0.5744005563189576), np.float64(1.181082390797874), np.float64(0.7560017769757864), np.float64(0.7412254102997804), np.float64(0.8175502572549359), np.float64(1.1187465253878646), np.float64(1.0142648130896532), np.float64(0.8006455739613383), np.float64(0.7403911690080945), np.float64(0.8380628743604897), np.float64(0.724746650948554), np.float64(0.8473419909648482), np.float64(0.6760257194628085), np.float64(1.0587964660247386), np.float64(0.8911122688129887), np.float64(0.5905843882717052), np.float64(0.8675413167779015), np.float64(0.8470318097874449), np.float64(0.8514984817342791), np.float64(1.0057009497763307), np.float64(0.7843309320661263), np.float64(0.7044980597031139), np.float64(0.6244218928685628), np.float64(0.7153368902311321), np.float64(0.9359495189646058), np.float64(0.6568699290596345), np.float64(1.1035228972294033), np.float64(0.6833791395925338), np.float64(0.5812596186770411), np.float64(0.6727569155515555), np.float64(0.8595356804064385), np.float64(0.6360490773670859), np.float64(1.1049133260578674), np.float64(0.9574657345144896), np.float64(0.9691932677763194), np.float64(1.0032001706198725), np.float64(0.9486006963513093), np.float64(0.6483815084634823), np.float64(0.6889634910499445), np.float64(1.0045094711643334), np.float64(0.6626799716836613), np.float64(0.6225126623399598), np.float64(1.0446989572100633), np.float64(0.5763674149707069), np.float64(0.5949095705481102), np.float64(0.7205659412880565), np.float64(0.6701810975693601), np.float64(1.1099510019595755), np.float64(0.7970600176786888), np.float64(0.5790491619910938), np.float64(1.0844692501375992), np.float64(0.6244358775645961), np.float64(0.7667699509727663), np.float64(1.1486021222172418), np.float64(1.135322351342525), np.float64(0.7992106636842015), np.float64(0.8308988362520028), np.float64(0.6589527668506306), np.float64(0.8239825542836786), np.float64(0.6045806197378366), np.float64(0.7989233959287683), np.float64(0.7354017566051761), np.float64(0.8574167620371578), np.float64(0.9485550759746098), np.float64(0.5568356931645059), np.float64(0.6352505426431257), np.float64(0.9798452472127354), np.float64(1.0437884557755428), np.float64(0.7974095884598391), np.float64(1.0359040595484477), np.float64(0.7234716185103134), np.float64(0.8594887595463025), np.float64(0.6996209504740936), np.float64(0.5768658608042487), np.float64(1.1580263779232731), np.float64(0.5547182498334091), np.float64(1.0456478422997222), np.float64(1.1384845160651238), np.float64(0.8031892619066132), np.float64(1.0890948686684023), np.float64(1.0687574335764198), np.float64(1.1178932725915376), np.float64(0.6579812610957756), np.float64(1.0723322395980306), np.float64(0.6831813715738574), np.float64(0.7285328488541333), np.float64(1.03360309511107), np.float64(0.9498922367097135), np.float64(1.1174306339406528), np.float64(0.9046214377037904), np.float64(1.1416117685335165), np.float64(0.9042938691033199), np.float64(1.1145493885512352), np.float64(0.9953906585696147), np.float64(1.1208455080873723)]"
variance_after_settling,"[np.float64(0.012488805985046406), np.float64(0.01918506634442827), np.float64(0.00712104179892182), np.float64(0.006803350926357959), np.float64(0.007118878737694879), np.float64(0.018493019939581544), np.float64(0.007317302476266405), np.float64(0.006606384207966611), np.float64(0.006505014525775311), np.float64(0.006628296829200374), np.float64(0.00718233156353892), np.float64(0.007005174267946858), np.float64(0.00666188433756638), np.float64(0.0064086215365102995), np.float64(0.006776966674543288), np.float64(0.006395327338948033), np.float64(0.006867210554918428), np.float64(0.00633348554300111), np.float64(0.007006787275714571), np.float64(0.006930370135143137), np.float64(0.007546382616309177), np.float64(0.006831257359337083), np.float64(0.006812107853121835), np.float64(0.006735329643470818), np.float64(0.0070209242786487165), np.float64(0.006865470494706953), np.float64(0.006534761376995518), np.float64(0.00636491656453603), np.float64(0.006396477399942459), np.float64(0.006933709771331022), np.float64(0.006320244867036176), np.float64(0.007136172938377156), np.float64(0.0063385552730008165), np.float64(0.008914377635512742), np.float64(0.00634728263526797), np.float64(0.00680913093866363), np.float64(0.006309749147492274), np.float64(0.007163308355381445), np.float64(0.006907237907151569), np.float64(0.006946809080590342), np.float64(0.007059611999398425), np.float64(0.006879988255550882), np.float64(0.006421341525128975), np.float64(0.006389505791921196), np.float64(0.007089776668927972), np.float64(0.006298729982380219), np.float64(0.006449463624698191), np.float64(0.007046370294669805), np.float64(0.008138556184903792), np.float64(0.006834442045514622), np.float64(0.006451544042455794), np.float64(0.006319696549363569), np.float64(0.007120285035629001), np.float64(0.006708717661039247), np.float64(0.007264510214340863), np.float64(0.007097907025214863), np.float64(0.00634927625795899), np.float64(0.006565502844111757), np.float64(0.007209996155178221), np.float64(0.007184437434720722), np.float64(0.00675524803956661), np.float64(0.006768218985303807), np.float64(0.006360104013342465), np.float64(0.006705393112774909), np.float64(0.006372155598022154), np.float64(0.006607369213033517), np.float64(0.006475794011583097), np.float64(0.006810762897882678), np.float64(0.006916445653677351), nan, np.float64(0.006308060054203779), np.float64(0.007025388421700101), np.float64(0.007020953436872898), np.float64(0.00664533668243813), np.float64(0.007086622457329244), np.float64(0.006507025814726563), np.float64(0.0068431088167244455), np.float64(0.006404138675657848), np.float64(0.008084365643915235), np.float64(0.007254322753399684), nan, np.float64(0.007104616533240699), np.float64(0.007197697713572855), np.float64(0.006567857651145948), np.float64(0.0070988929665850835), np.float64(0.007143516240049543), np.float64(0.007193573411654148), np.float64(0.006281959269047732), np.float64(0.007134062558516822), np.float64(0.0065775916435476395), np.float64(0.0066429232367267695), np.float64(0.007034568743738054), np.float64(0.006897288800538905), np.float64(0.00724679020010939), np.float64(0.0069254465288593175), np.float64(0.007090653116459143), np.float64(0.006925388987026539), np.float64(0.007197655380192979), np.float64(0.006939263457595398), np.float64(0.007177145226363347)]"
recovery_time,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
number_of_oscillations,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
