metric,values
steady_state_error,"[np.float64(-0.007780060205263754), np.float64(0.10629874428806385), np.float64(-0.10376518184954012), np.float64(-0.1035025007919743), np.float64(-0.10374327032721785), np.float64(0.024020325110579017), np.float64(-0.10387722520142671), np.float64(-0.10341540766261245), np.float64(-0.10337825737318714), np.float64(-0.10345298290627472), np.float64(-0.10378125788119982), np.float64(-0.10365710183376864), np.float64(-0.10344767895211526), np.float64(-0.10334817879743745), np.float64(-0.10348989712538895), np.float64(-0.10333033493715726), np.float64(-0.10352661084745984), np.float64(-0.10329929741734725), np.float64(-0.1037027454658349), np.float64(-0.10356746823903115), np.float64(-0.08462576804727134), np.float64(-0.10352085212978379), np.float64(-0.10349635231326966), np.float64(-0.1034917529701935), np.float64(-0.10365920130048215), np.float64(-0.10349900154602089), np.float64(-0.10339233571688443), np.float64(-0.10328736365277688), np.float64(-0.10331333602932127), np.float64(-0.10362171770832206), np.float64(-0.10328698944849855), np.float64(-0.10376082749713163), np.float64(-0.10330328002857164), np.float64(-0.05260242666215798), np.float64(-0.10329833312578092), np.float64(-0.103503822317555), np.float64(-0.10326331288631117), np.float64(-0.10376816303483144), np.float64(-0.10360375694445606), np.float64(-0.10363189544719748), np.float64(-0.1036949297020045), np.float64(-0.10357691730110298), np.float64(-0.10333146801213945), np.float64(-0.10333865531486926), np.float64(-0.10368865163379544), np.float64(-0.10329837751029107), np.float64(-0.10284103831060865), np.float64(-0.10369933717227854), np.float64(-0.0627824291698301), np.float64(-0.09223559651595904), np.float64(-0.10333849107609344), np.float64(-0.10330866148230335), np.float64(-0.10378200997129207), np.float64(-0.10347380707607916), np.float64(-0.07138100650716481), np.float64(-0.1037555689795637), np.float64(-0.10291026815761488), np.float64(-0.10340703217894615), np.float64(-0.10382104234051903), np.float64(-0.10381013310169374), np.float64(-0.10349506634677885), np.float64(-0.10347110802577056), np.float64(-0.10330150075044481), np.float64(-0.10347528716613043), np.float64(-0.10057254838964388), np.float64(-0.10342297108764623), np.float64(-0.10335098977393611), np.float64(-0.10349570665683361), np.float64(-0.10361161013902136), np.float64(0.11985975716195066), np.float64(-0.10329670969218936), np.float64(-0.10367050545656716), np.float64(-0.10368918026827734), np.float64(-0.10342751145542736), np.float64(-0.10371682253617356), np.float64(-0.10336895244997733), np.float64(-0.10350156660389084), np.float64(-0.10333492564106768), np.float64(-0.0557473916723947), np.float64(-0.10382257740825564), nan, np.float64(-0.10371487397310558), np.float64(-0.10380028571053636), np.float64(-0.10342253936434233), np.float64(-0.1037666939111429), np.float64(-0.10374049734657854), np.float64(-0.10378772631091923), np.float64(-0.10325807954580588), np.float64(-0.10376080470892593), np.float64(-0.1033978306626984), np.float64(-0.10341402886161034), np.float64(-0.10369276947556413), np.float64(-0.1036221792134937), np.float64(-0.10380723030687347), np.float64(-0.10355088329134389), np.float64(-0.1037560452309921), np.float64(-0.10355717602509679), np.float64(-0.10378946337993308), np.float64(-0.10365708017574636), np.float64(-0.1037763377354201)]"
mean_square_error,"[np.float64(0.1247892596776323), np.float64(0.13860200478259757), np.float64(0.1426959944593927), np.float64(0.13753087495100594), np.float64(0.14280284431893367), np.float64(0.13086365848979128), np.float64(0.14512410045767263), np.float64(0.13531170363717587), np.float64(0.13439764064242468), np.float64(0.13564485003881788), np.float64(0.14354469573328493), np.float64(0.14072257004618202), np.float64(0.13612766613596292), np.float64(0.13333363109546148), np.float64(0.1373147463492928), np.float64(0.13339965418726765), np.float64(0.13776352039874706), np.float64(0.13256664180949246), np.float64(0.14105080049555527), np.float64(0.13838407118454255), np.float64(0.1300565702550045), np.float64(0.13748215379111875), np.float64(0.13732095677273767), np.float64(0.13700632125536563), np.float64(0.14086736238598763), np.float64(0.13805652054306303), np.float64(0.13482111418636808), np.float64(0.1330319765791754), np.float64(0.133121684981204), np.float64(0.13992798673719126), np.float64(0.13289556882196585), np.float64(0.14281949790691129), np.float64(0.13290711236163935), np.float64(0.12626758680418335), np.float64(0.13264851920987858), np.float64(0.13710549819492848), np.float64(0.13240626695465804), np.float64(0.14306094961848947), np.float64(0.13962319431334774), np.float64(0.14047736710944214), np.float64(0.1416538726384704), np.float64(0.13900213767844793), np.float64(0.1338118740507542), np.float64(0.13333698521136425), np.float64(0.14173768393144257), np.float64(0.13236024931935902), np.float64(0.13400290174018786), np.float64(0.14173502524661183), np.float64(0.12617252688564), np.float64(0.12922800206057314), np.float64(0.1337059849611341), np.float64(0.13257888014514901), np.float64(0.14275610928852214), np.float64(0.13664589089748913), np.float64(0.12718154356528905), np.float64(0.14263752439579522), np.float64(0.13283065715224288), np.float64(0.1349904251086819), np.float64(0.1437315833989), np.float64(0.14362697295325302), np.float64(0.13715996793737964), np.float64(0.13693791395716737), np.float64(0.1333826837427013), np.float64(0.13664141163829435), np.float64(0.13234955421267922), np.float64(0.13534746398044842), np.float64(0.1337639559819758), np.float64(0.13718225530775732), np.float64(0.13968503169522828), np.float64(0.15510041154381307), np.float64(0.1326196847176738), np.float64(0.14103036407887184), np.float64(0.14098259202292449), np.float64(0.13548658207174724), np.float64(0.1416742463860682), np.float64(0.13430953414386987), np.float64(0.13741059167303912), np.float64(0.13333081667333352), np.float64(0.12393084469896908), np.float64(0.14377201838384915), np.float64(0.19260969911290393), np.float64(0.14175620455896598), np.float64(0.1436555688474055), np.float64(0.13513009969201653), np.float64(0.1428812992141375), np.float64(0.14280565342840595), np.float64(0.1437892170789904), np.float64(0.13180183744069812), np.float64(0.14264527878855607), np.float64(0.1353986467923976), np.float64(0.13583938238313026), np.float64(0.14122416121851342), np.float64(0.13983620621380827), np.float64(0.14395878735055817), np.float64(0.13853382103265763), np.float64(0.1423371650795621), np.float64(0.13876515109700005), np.float64(0.14346559043771392), np.float64(0.14027351038928168), np.float64(0.14306865116733367)]"
overshoot,"[np.float64(0.09199110703889346), np.float64(0.2188473715751229), np.float64(-0.09862469991844236), np.float64(-0.09853739540750439), np.float64(-0.09862165490989128), np.float64(0.20522968553001064), np.float64(-0.0986442191858714), np.float64(-0.0985428637262693), np.float64(-0.09853560588896926), np.float64(-0.09855174093809183), np.float64(-0.09863236836298839), np.float64(-0.09860607773191532), np.float64(-0.09855074777379969), np.float64(-0.09852568227933034), np.float64(-0.0985562328553442), np.float64(-0.09852233178185088), np.float64(-0.0985607287685184), np.float64(-0.09851696985197123), np.float64(-0.09861067150018243), np.float64(-0.09857460248855077), np.float64(0.02097104017923712), np.float64(-0.09857053164597573), np.float64(-0.09856542150544101), np.float64(-0.09856307174555923), np.float64(-0.09860464803745117), np.float64(-0.09853278015827982), np.float64(-0.09852143488598131), np.float64(-0.09850539631571564), np.float64(-0.09852282748778407), np.float64(-0.09858468821045108), np.float64(-0.09851461731841482), np.float64(-0.09862921241386857), np.float64(-0.09852032352534934), np.float64(0.022848094752930592), np.float64(-0.09851502290495873), np.float64(-0.0985686835655315), np.float64(-0.09850802252697122), np.float64(-0.09862698123151858), np.float64(-0.09859015962314288), np.float64(-0.09859381285394875), np.float64(-0.09858736579241167), np.float64(-0.09858074429689623), np.float64(-0.09851161857676516), np.float64(-0.09852343795739671), np.float64(-0.09860166844578089), np.float64(-0.09851259317099093), np.float64(-0.09338587812715105), np.float64(-0.09861440205293093), np.float64(-0.01827789401994906), np.float64(-0.07200426772152468), np.float64(-0.09853033000314326), np.float64(-0.09851514344518364), np.float64(-0.09862844277143168), np.float64(-0.09855030332289516), np.float64(-0.04226415487073609), np.float64(-0.09862326210873107), np.float64(-0.09416501947157485), np.float64(-0.0985451528843555), np.float64(-0.09863897465999116), np.float64(-0.0986365496092958), np.float64(-0.09854083989409901), np.float64(-0.09855712511495085), np.float64(-0.09851031855032488), np.float64(-0.09855900802085671), np.float64(-0.07711634212046548), np.float64(-0.09854737733394359), np.float64(-0.09852972660047499), np.float64(-0.09856547581864561), np.float64(-0.09858864390054123), np.float64(0.40521143561528916), np.float64(-0.09851110100453297), np.float64(-0.09858579363475073), np.float64(-0.09860968643158685), np.float64(-0.098548861356619), np.float64(-0.0986112194306692), np.float64(-0.09853178622466885), np.float64(-0.0985681334942683), np.float64(-0.0985215935065753), np.float64(-0.005445823779268721), np.float64(-0.09864046266494952), np.float64(0.5371124513334848), np.float64(-0.09861391310829504), np.float64(-0.09863784680783283), np.float64(-0.09854451192915903), np.float64(-0.0986249825580785), np.float64(-0.0986195862433874), np.float64(-0.0986320210967584), np.float64(-0.09850672112338899), np.float64(-0.09861838629723252), np.float64(-0.09851047051751038), np.float64(-0.09852435163168138), np.float64(-0.09861076009536873), np.float64(-0.09859026567949059), np.float64(-0.0986302886554391), np.float64(-0.09857872665844525), np.float64(-0.09862496190635284), np.float64(-0.09857567954054858), np.float64(-0.09862753452227935), np.float64(-0.09860118596077427), np.float64(-0.09863044271111221)]"
rise_time,"[1118.0, 1090.0, 1230.0, 1182.0, 1231.0, 1123.0, 1252.0, 1161.0, 1153.0, 1165.0, 1238.0, 1212.0, 1169.0, 1143.0, 1180.0, 1144.0, 1184.0, 1136.0, 1215.0, 1190.0, 1134.0, 1182.0, 1180.0, 1177.0, 1213.0, 1187.0, 1157.0, 1140.0, 1141.0, 1204.0, 1139.0, 1231.0, 1139.0, 1129.0, 1137.0, 1178.0, 1135.0, 1234.0, 1202.0, 1209.0, 1220.0, 1196.0, 1148.0, 1143.0, 1221.0, 1134.0, 1150.0, 1221.0, 1125.0, 1122.0, 1147.0, 1137.0, 1231.0, 1174.0, 1129.0, 1229.0, 1139.0, 1159.0, 1240.0, 1239.0, 1179.0, 1176.0, 1144.0, 1174.0, 1138.0, 1162.0, 1147.0, 1179.0, 1202.0, 1108.0, 1137.0, 1215.0, 1215.0, 1163.0, 1221.0, 1152.0, 1181.0, 1143.0, 1111.0, 1241.0, 1107.0, 1221.0, 1239.0, 1160.0, 1232.0, 1231.0, 1240.0, 1129.0, 1230.0, 1162.0, 1167.0, 1217.0, 1203.0, 1242.0, 1191.0, 1227.0, 1194.0, 1237.0, 1208.0, 1234.0]"
settling_time,"[np.float64(986.0), np.float64(962.0), np.float64(1084.0), np.float64(1042.0), np.float64(1086.0), np.float64(991.0), np.float64(1104.0), np.float64(1024.0), np.float64(1017.0), np.float64(1027.0), np.float64(1092.0), np.float64(1069.0), np.float64(1031.0), np.float64(1008.0), np.float64(1041.0), np.float64(1009.0), np.float64(1044.0), np.float64(1002.0), np.float64(1071.0), np.float64(1049.0), np.float64(1000.0), np.float64(1042.0), np.float64(1041.0), np.float64(1038.0), np.float64(1070.0), np.float64(1047.0), np.float64(1020.0), np.float64(1006.0), np.float64(1007.0), np.float64(1062.0), np.float64(1005.0), np.float64(1086.0), np.float64(1005.0), np.float64(996.0), np.float64(1003.0), np.float64(1039.0), np.float64(1001.0), np.float64(1088.0), np.float64(1060.0), np.float64(1067.0), np.float64(1076.0), np.float64(1055.0), np.float64(1012.0), np.float64(1008.0), np.float64(1077.0), np.float64(1000.0), np.float64(1014.0), np.float64(1077.0), np.float64(992.0), np.float64(990.0), np.float64(1012.0), np.float64(1002.0), np.float64(1085.0), np.float64(1035.0), np.float64(995.0), np.float64(1084.0), np.float64(1005.0), np.float64(1022.0), np.float64(1093.0), np.float64(1092.0), np.float64(1039.0), np.float64(1038.0), np.float64(1009.0), np.float64(1035.0), np.float64(1004.0), np.float64(1025.0), np.float64(1012.0), np.float64(1040.0), np.float64(1060.0), np.float64(977.0), np.float64(1002.0), np.float64(1071.0), np.float64(1071.0), np.float64(1026.0), np.float64(1076.0), np.float64(1016.0), np.float64(1042.0), np.float64(1008.0), np.float64(980.0), np.float64(1094.0), nan, np.float64(1077.0), np.float64(1093.0), np.float64(1023.0), np.float64(1086.0), np.float64(1086.0), np.float64(1094.0), np.float64(996.0), np.float64(1084.0), np.float64(1025.0), np.float64(1029.0), np.float64(1073.0), np.float64(1061.0), np.float64(1095.0), np.float64(1051.0), np.float64(1082.0), np.float64(1053.0), np.float64(1091.0), np.float64(1065.0), np.float64(1088.0)]"
comfort_time,"[13415, 13439, 13317, 13359, 13315, 13410, 13297, 13377, 13384, 13374, 13309, 13332, 13370, 13393, 13360, 13392, 13357, 13399, 13330, 13352, 13401, 13359, 13360, 13363, 13331, 13354, 13381, 13395, 13394, 13339, 13396, 13315, 13396, 13405, 13398, 13362, 13400, 13313, 13341, 13334, 13325, 13346, 13389, 13393, 13324, 13401, 13387, 13324, 13409, 13411, 13389, 13399, 13316, 13366, 13406, 13317, 13396, 13379, 13308, 13309, 13362, 13363, 13392, 13366, 13397, 13376, 13389, 13361, 13341, 13424, 13399, 13330, 13330, 13375, 13325, 13385, 13359, 13393, 13421, 13307, 12543, 13324, 13308, 13378, 13315, 13315, 13307, 13405, 13317, 13376, 13372, 13328, 13340, 13306, 13350, 13319, 13348, 13310, 13336, 13313]"
energy_consumed,"[np.float64(0.5208333333333334), np.float64(0.5079166666666667), np.float64(1.03875), np.float64(0.72625), np.float64(1.02375), np.float64(0.5233333333333333), np.float64(1.1225), np.float64(0.6966666666666667), np.float64(0.6820833333333334), np.float64(0.7583333333333333), np.float64(1.06), np.float64(0.9554166666666667), np.float64(0.7416666666666667), np.float64(0.68125), np.float64(0.7791666666666667), np.float64(0.6654166666666667), np.float64(0.7883333333333333), np.float64(0.6166666666666667), np.float64(1.0), np.float64(0.8320833333333333), np.float64(0.535), np.float64(0.8083333333333333), np.float64(0.7879166666666667), np.float64(0.7925), np.float64(0.9466666666666667), np.float64(0.7254166666666667), np.float64(0.6454166666666666), np.float64(0.565), np.float64(0.65625), np.float64(0.8770833333333333), np.float64(0.5975), np.float64(1.0445833333333334), np.float64(0.6241666666666666), np.float64(0.5270833333333333), np.float64(0.6133333333333333), np.float64(0.8004166666666667), np.float64(0.5766666666666667), np.float64(1.04625), np.float64(0.8983333333333333), np.float64(0.9104166666666667), np.float64(0.9445833333333333), np.float64(0.8895833333333333), np.float64(0.5891666666666666), np.float64(0.6295833333333334), np.float64(0.9454166666666667), np.float64(0.6033333333333334), np.float64(0.5645833333333333), np.float64(0.9858333333333333), np.float64(0.5241666666666667), np.float64(0.5358333333333334), np.float64(0.66125), np.float64(0.6108333333333333), np.float64(1.05125), np.float64(0.7379166666666667), np.float64(0.5258333333333334), np.float64(1.0258333333333334), np.float64(0.56625), np.float64(0.7075), np.float64(1.0895833333333333), np.float64(1.0766666666666667), np.float64(0.74), np.float64(0.7716666666666666), np.float64(0.5995833333333334), np.float64(0.765), np.float64(0.5475), np.float64(0.7395833333333334), np.float64(0.67625), np.float64(0.7983333333333333), np.float64(0.8895833333333333), np.float64(0.51625), np.float64(0.5758333333333333), np.float64(0.9208333333333333), np.float64(0.985), np.float64(0.7383333333333333), np.float64(0.9770833333333333), np.float64(0.6641666666666667), np.float64(0.8004166666666667), np.float64(0.6404166666666666), np.float64(0.51875), np.float64(1.0991666666666666), np.float64(0.5154166666666666), np.float64(0.9866666666666667), np.float64(1.0795833333333333), np.float64(0.7441666666666666), np.float64(1.0304166666666668), np.float64(1.01), np.float64(1.0591666666666666), np.float64(0.59875), np.float64(1.01375), np.float64(0.6241666666666666), np.float64(0.6695833333333333), np.float64(0.9745833333333334), np.float64(0.8908333333333334), np.float64(1.05875), np.float64(0.8458333333333333), np.float64(1.0829166666666667), np.float64(0.8454166666666667), np.float64(1.0558333333333334), np.float64(0.9366666666666666), np.float64(1.0620833333333333)]"
variance_after_settling,"[np.float64(0.005419640372297404), np.float64(0.01210032277621577), np.float64(0.001153852941638284), np.float64(0.001107220266162068), np.float64(0.0011458603036382017), np.float64(0.010781311883204015), np.float64(0.0011775082074969038), np.float64(0.0010846195528687829), np.float64(0.001074745830785612), np.float64(0.0010908829296373559), np.float64(0.001153685099903759), np.float64(0.0011282262096829502), np.float64(0.0010899645032452514), np.float64(0.0010684692404870153), np.float64(0.0010968647041361315), np.float64(0.001063233662319675), np.float64(0.001108293208009864), np.float64(0.001059561242760219), np.float64(0.001140585729752506), np.float64(0.001116634906899803), np.float64(0.002103743648454343), np.float64(0.0011052726228787313), np.float64(0.0010983885832639663), np.float64(0.0010977539733654134), np.float64(0.0011297016645923311), np.float64(0.001103440399600876), np.float64(0.001083546044909005), np.float64(0.0010582516968680928), np.float64(0.0010580788650620206), np.float64(0.0011262708499144589), np.float64(0.0010558219513367181), np.float64(0.0011499510307157613), np.float64(0.0010586222820776392), np.float64(0.0029454756073712526), np.float64(0.0010587372839904105), np.float64(0.0011005531689875544), np.float64(0.0010512131160756238), np.float64(0.0011513287598052511), np.float64(0.0011184839762523467), np.float64(0.0011252099964429757), np.float64(0.0011404748050806595), np.float64(0.001111381860512631), np.float64(0.0010705977553931187), np.float64(0.0010702934720949449), np.float64(0.0011382719504554883), np.float64(0.001061860334805666), np.float64(0.0010826406768905397), np.float64(0.0011368330347791597), np.float64(0.0021721402285295698), np.float64(0.0012243355661155778), np.float64(0.001064620289995749), np.float64(0.0010630962395399614), np.float64(0.001157704464930455), np.float64(0.001097773591562405), np.float64(0.0016834350974524333), np.float64(0.0011513993290897936), np.float64(0.0010610757883005996), np.float64(0.0010813629448256207), np.float64(0.0011646401413286072), np.float64(0.0011620961469928142), np.float64(0.0011037143432840232), np.float64(0.001091959319755157), np.float64(0.0010594942204383343), np.float64(0.001096212628598403), np.float64(0.0011081489158226738), np.float64(0.0010822480187105056), np.float64(0.0010682032535716617), np.float64(0.00109728119276461), np.float64(0.0011224985662297475), np.float64(0.0247087056369005), np.float64(0.0010627495194381728), np.float64(0.0011362318145132363), np.float64(0.0011351496456197326), np.float64(0.0010841476922996837), np.float64(0.001145459190146753), np.float64(0.0010746844421338183), np.float64(0.0010984440390584835), np.float64(0.0010684463408261876), np.float64(0.002224815854574688), np.float64(0.0011632590467354949), nan, np.float64(0.0011424110780888898), np.float64(0.0011577456294184795), np.float64(0.0010828221335950844), np.float64(0.0011534053836390987), np.float64(0.0011466738948867489), np.float64(0.001155520463660424), np.float64(0.0010487860345293682), np.float64(0.0011535883845547892), np.float64(0.0010858471776163778), np.float64(0.001085090488229099), np.float64(0.0011380142837647328), np.float64(0.0011259218858549395), np.float64(0.0011622685652309022), np.float64(0.001108319452411712), np.float64(0.001146488174535452), np.float64(0.0011094635805401162), np.float64(0.0011576727712324891), np.float64(0.0011318917075603286), np.float64(0.0011531777776431712)]"
recovery_time,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
number_of_oscillations,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
