metric,values
steady_state_error,"[np.float64(0.04079016092227908), np.float64(0.051175807758042195), np.float64(-0.15023229065773178), np.float64(-0.039436688528651676), np.float64(-0.14379523687690748), np.float64(0.054825520962415754), np.float64(-0.17736356376513454), np.float64(-0.037825844058806284), np.float64(-0.03525931467855191), np.float64(-0.061648029739103986), np.float64(-0.15678659598414948), np.float64(-0.12362394786672874), np.float64(-0.05311516797414085), np.float64(-0.037290059359407046), np.float64(-0.06447782748968038), np.float64(-0.032768456751976135), np.float64(-0.06616682027302348), np.float64(-0.01473192379626785), np.float64(-0.14117870896513204), np.float64(-0.08147285205543474), np.float64(0.028708433654977113), np.float64(-0.0751635857331331), np.float64(-0.06754907485757572), np.float64(-0.07139271923374932), np.float64(-0.11970649908106877), np.float64(-0.03725992654796594), np.float64(-0.018791189219691286), np.float64(0.008059750750490303), np.float64(-0.027526546287122654), np.float64(-0.09308314516433265), np.float64(-0.0060700209919769404), np.float64(-0.15224709996661612), np.float64(-0.017509150366529877), np.float64(0.034187870947020145), np.float64(-0.014032371509768328), np.float64(-0.07334799291239562), np.float64(0.0010229738101396571), np.float64(-0.1524500697237818), np.float64(-0.10358036633091362), np.float64(-0.10519753247088075), np.float64(-0.117386273028658), np.float64(-0.10249160250690627), np.float64(0.001646394393901535), np.float64(-0.017460864949256534), np.float64(-0.11502630726122476), np.float64(-0.00932174915581275), np.float64(0.01381704869027419), np.float64(-0.1328886010408332), np.float64(0.028903052494185125), np.float64(0.013774352877712134), np.float64(-0.028602909537120816), np.float64(-0.0115251508829279), np.float64(-0.15535440202686415), np.float64(-0.049130714316022187), np.float64(0.025262995599261085), np.float64(-0.146281040290116), np.float64(0.0064723269586327075), np.float64(-0.0431826008184975), np.float64(-0.16761683256297774), np.float64(-0.16281475980396493), np.float64(-0.0485774642430338), np.float64(-0.0633141392838178), np.float64(-0.0044914899299082845), np.float64(-0.06066357856088035), np.float64(0.016160047904657106), np.float64(-0.05528854313176443), np.float64(-0.03449843518003921), np.float64(-0.07215988388588546), np.float64(-0.10036827168483829), np.float64(0.07437248916998877), np.float64(0.0019422180068476161), np.float64(-0.10926085808448488), np.float64(-0.13668118635009727), np.float64(-0.053448493648565173), np.float64(-0.12845493918401485), np.float64(-0.027703226998166644), np.float64(-0.07217102940586154), np.float64(-0.02325178160235367), np.float64(0.015432467114823096), np.float64(-0.17061286492377234), np.float64(0.09332361317466477), np.float64(-0.13293633048304873), np.float64(-0.16397929309358364), np.float64(-0.05820301583187585), np.float64(-0.14676189419787364), np.float64(-0.13819083214087863), np.float64(-0.155345484597127), np.float64(-0.0108436056320858), np.float64(-0.1405018381326873), np.float64(-0.006708161780191244), np.float64(-0.02401109025988277), np.float64(-0.12922583629458517), np.float64(-0.10026019024026027), np.float64(-0.1526655915274662), np.float64(-0.08700162180113105), np.float64(-0.17211608742847043), np.float64(-0.08591721783822022), np.float64(-0.15352961976614546), np.float64(-0.11663272496975322), np.float64(-0.15975487580150208)]"
mean_square_error,"[np.float64(0.2620034669354151), np.float64(0.24938710774858883), np.float64(0.3257300050928073), np.float64(0.2898675762532057), np.float64(0.3263269084529814), np.float64(0.26733310087617995), np.float64(0.3450092738489877), np.float64(0.2778712420417076), np.float64(0.2737827629999088), np.float64(0.2802715257177585), np.float64(0.332201962868003), np.float64(0.31168012858520533), np.float64(0.2818213412561345), np.float64(0.2677202496884811), np.float64(0.28858541969443924), np.float64(0.26876861274219743), np.float64(0.29110964922736005), np.float64(0.2654584250680968), np.float64(0.31621682022899356), np.float64(0.2951014632202616), np.float64(0.2694971692370774), np.float64(0.29005076862212964), np.float64(0.2882928661368495), np.float64(0.28644993691653287), np.float64(0.3117854053960103), np.float64(0.29283892616881585), np.float64(0.27640305486626904), np.float64(0.2695733619175441), np.float64(0.2675513522692647), np.float64(0.30385302667751324), np.float64(0.26710184127155456), np.float64(0.32798384020436677), np.float64(0.2670332452575821), np.float64(0.2667887517568629), np.float64(0.2659841605789127), np.float64(0.28839391177661317), np.float64(0.26517416839264984), np.float64(0.32976219678968266), np.float64(0.30357425605428057), np.float64(0.3076268036826211), np.float64(0.31552209429009076), np.float64(0.2989941287205025), np.float64(0.27274723182576044), np.float64(0.2697030746255515), np.float64(0.3156299217460239), np.float64(0.2647314216088586), np.float64(0.27570637462700676), np.float64(0.31809440397034616), np.float64(0.26396837838782183), np.float64(0.26031284691966716), np.float64(0.27056127639077643), np.float64(0.26590797072615363), np.float64(0.32847990801889326), np.float64(0.28455822741578596), np.float64(0.2644606697411884), np.float64(0.3250920648261661), np.float64(0.26916426202125593), np.float64(0.2773029680793823), np.float64(0.33628508142568203), np.float64(0.3341575714162445), np.float64(0.2879958182620049), np.float64(0.28624286888578937), np.float64(0.2691225392096373), np.float64(0.2846285889358674), np.float64(0.26955700769900737), np.float64(0.2782647910872946), np.float64(0.27086375332193596), np.float64(0.2892859884807741), np.float64(0.3033907999669356), np.float64(0.2638967390485748), np.float64(0.2665265715741829), np.float64(0.31159131460987677), np.float64(0.31478007641087513), np.float64(0.2789150161701572), np.float64(0.3173475251263398), np.float64(0.27297824703676354), np.float64(0.28965449521516456), np.float64(0.2691537506639272), np.float64(0.25429126792864487), np.float64(0.3373555550103164), np.float64(0.26804742076795685), np.float64(0.3185571022741342), np.float64(0.3350126930328981), np.float64(0.2776239491270191), np.float64(0.3267626106592767), np.float64(0.3244142482164707), np.float64(0.3331455021911892), np.float64(0.2623774781452373), np.float64(0.3248738388966679), np.float64(0.2802889281248018), np.float64(0.28175456692932316), np.float64(0.31519422094138144), np.float64(0.30353680189615256), np.float64(0.33375573413788895), np.float64(0.2961012683484819), np.float64(0.3296552921801657), np.float64(0.2971851910723808), np.float64(0.3308879576437431), np.float64(0.30854758160850515), np.float64(0.3309968695232727)]"
overshoot,"[np.float64(0.14192313354715225), np.float64(0.14262889940272316), np.float64(-0.06999351828653744), np.float64(0.06192686119561586), np.float64(-0.047507646535109416), np.float64(0.15558684975729875), np.float64(-0.07884289989215176), np.float64(0.05258117377883664), np.float64(0.052481954656229846), np.float64(0.020977503731444358), np.float64(-0.0619199056659987), np.float64(-0.034089085820596665), np.float64(0.03501232836692125), np.float64(0.039103349489209904), np.float64(0.03566674956595861), np.float64(0.05147712639245583), np.float64(0.03363730957448752), np.float64(0.07046914314122432), np.float64(-0.05869582016719832), np.float64(0.011840136089919184), np.float64(0.16161567354953377), np.float64(0.013808210485596106), np.float64(0.021997484405915202), np.float64(0.015239843169467804), np.float64(-0.026269218137599637), np.float64(0.07462635881392998), np.float64(0.08366713399988157), np.float64(0.10550212344583088), np.float64(0.05729692062744007), np.float64(-0.001647008010479567), np.float64(0.0816349042680713), np.float64(-0.063626749932439), np.float64(0.07124751843855748), np.float64(0.1299358450325485), np.float64(0.07364155431554309), np.float64(0.01739352380911896), np.float64(0.08666565988187713), np.float64(-0.05264276908895127), np.float64(-0.016293967426577183), np.float64(-0.01577819564170113), np.float64(-0.0005571074811996368), np.float64(-0.030514140032835257), np.float64(0.09882651470553583), np.float64(0.07646986170248837), np.float64(-0.018122841900378717), np.float64(0.0761564573637088), np.float64(0.11784504974252741), np.float64(-0.039245995108672105), np.float64(0.12925963430029697), np.float64(0.09991073904586756), np.float64(0.05472102928899858), np.float64(0.07347405063097767), np.float64(-0.06543836849334639), np.float64(0.04224851819333253), np.float64(0.12014769510614087), np.float64(-0.05195943970943517), np.float64(0.11297140555046781), np.float64(0.049762667504410274), np.float64(-0.07841075108109763), np.float64(-0.07350468467450355), np.float64(0.05973868690631434), np.float64(0.03436404842517149), np.float64(0.08014962352023858), np.float64(0.02696144932053457), np.float64(0.12119941529180878), np.float64(0.026313292485038886), np.float64(0.05449660153976765), np.float64(0.024236302746544425), np.float64(-0.006044657853067292), np.float64(0.1805592860808396), np.float64(0.09154176265241176), np.float64(0.0034315294493616477), np.float64(-0.04032065387605144), np.float64(0.028812357163587876), np.float64(-0.039030607073925694), np.float64(0.057967543759275486), np.float64(0.019215861231600684), np.float64(0.07358279654289035), np.float64(0.10377588756472278), np.float64(-0.08851015004086094), np.float64(0.21175128438733282), np.float64(-0.03798901257300358), np.float64(-0.0714292736245774), np.float64(0.026836202102515472), np.float64(-0.05192884217262872), np.float64(-0.04545963582523882), np.float64(-0.059026777846725054), np.float64(0.08249138774357334), np.float64(-0.04101609056385769), np.float64(0.10106448044621175), np.float64(0.08317062647853035), np.float64(-0.043225223609795194), np.float64(-0.01052990359545447), np.float64(-0.06557689280907653), np.float64(0.007643922056505659), np.float64(-0.08464116099827024), np.float64(0.010687357896244976), np.float64(-0.07356501804275695), np.float64(-0.03271143335399529), np.float64(-0.060980344945960496)]"
rise_time,"[3201.0, 2973.0, 4602.0, 3864.0, 4651.0, 3249.0, 4985.0, 3646.0, 3579.0, 3724.0, 4741.0, 4338.0, 3725.0, 3467.0, 3867.0, 3477.0, 3917.0, 3401.0, 4440.0, 4008.0, 3354.0, 3910.0, 3859.0, 3829.0, 4342.0, 3909.0, 3588.0, 3416.0, 3457.0, 4168.0, 3405.0, 4676.0, 3429.0, 3306.0, 3406.0, 3885.0, 3359.0, 4729.0, 4184.0, 4233.0, 4399.0, 4066.0, 3487.0, 3476.0, 4400.0, 3383.0, 3515.0, 4461.0, 3267.0, 3257.0, 3514.0, 3409.0, 4687.0, 3775.0, 3283.0, 4592.0, 3412.0, 3658.0, 4847.0, 4792.0, 3837.0, 3825.0, 3436.0, 3791.0, 3387.0, 3681.0, 3519.0, 3913.0, 4176.0, 3111.0, 3377.0, 4328.0, 4384.0, 3689.0, 4452.0, 3546.0, 3902.0, 3463.0, 3153.0, 4864.0, 3096.0, 4474.0, 4819.0, 3664.0, 4641.0, 4567.0, 4760.0, 3328.0, 4613.0, 3631.0, 3700.0, 4403.0, 4159.0, 4755.0, 4026.0, 4753.0, 4042.0, 4682.0, 4278.0, 4740.0]"
settling_time,"[np.float64(2463.0), np.float64(2315.0), np.float64(3256.0), np.float64(2877.0), np.float64(3278.0), np.float64(2495.0), np.float64(3458.0), np.float64(2736.0), np.float64(2689.0), np.float64(2773.0), np.float64(3328.0), np.float64(3118.0), np.float64(2784.0), np.float64(2625.0), np.float64(2866.0), np.float64(2629.0), np.float64(2892.0), np.float64(2583.0), np.float64(3151.0), np.float64(2941.0), np.float64(2560.0), np.float64(2885.0), np.float64(2862.0), np.float64(2842.0), np.float64(3121.0), np.float64(2911.0), np.float64(2703.0), np.float64(2598.0), np.float64(2618.0), np.float64(3048.0), np.float64(2590.0), np.float64(3289.0), np.float64(2601.0), np.float64(2532.0), np.float64(2588.0), np.float64(2868.0), np.float64(2562.0), np.float64(3312.0), np.float64(3036.0), np.float64(3084.0), np.float64(3166.0), np.float64(2985.0), np.float64(2642.0), np.float64(2629.0), np.float64(3174.0), np.float64(2572.0), np.float64(2658.0), np.float64(3184.0), np.float64(2506.0), np.float64(2497.0), np.float64(2653.0), np.float64(2588.0), np.float64(3292.0), np.float64(2818.0), np.float64(2520.0), np.float64(3253.0), np.float64(2594.0), np.float64(2736.0), np.float64(3370.0), np.float64(3347.0), np.float64(2851.0), np.float64(2842.0), np.float64(2613.0), np.float64(2820.0), np.float64(2582.0), np.float64(2750.0), np.float64(2655.0), np.float64(2876.0), np.float64(3033.0), np.float64(2407.0), np.float64(2574.0), np.float64(3126.0), np.float64(3142.0), np.float64(2757.0), np.float64(3181.0), np.float64(2676.0), np.float64(2881.0), np.float64(2623.0), np.float64(2429.0), np.float64(3379.0), np.float64(2397.0), np.float64(3191.0), np.float64(3359.0), np.float64(2738.0), np.float64(3275.0), np.float64(3259.0), np.float64(3340.0), np.float64(2538.0), np.float64(3261.0), np.float64(2736.0), np.float64(2771.0), np.float64(3155.0), np.float64(3035.0), np.float64(3365.0), np.float64(2952.0), np.float64(3262.0), np.float64(2964.0), np.float64(3329.0), np.float64(3086.0), np.float64(3315.0)]"
comfort_time,"[11938, 12086, 11145, 11524, 11123, 11906, 10943, 11665, 11712, 11628, 11073, 11283, 11617, 11776, 11535, 11772, 11509, 11818, 11250, 11460, 11841, 11516, 11539, 11559, 11280, 11490, 11698, 11803, 11783, 11353, 11811, 11112, 11800, 11869, 11813, 11533, 11839, 11089, 11365, 11317, 11235, 11416, 11759, 11772, 11227, 11829, 11743, 11217, 11895, 11904, 11748, 11813, 11109, 11583, 11881, 11148, 11807, 11665, 11031, 11054, 11550, 11559, 11788, 11581, 11819, 11651, 11746, 11525, 11368, 11994, 11827, 11275, 11259, 11644, 11220, 11725, 11520, 11778, 11972, 11022, 12004, 11210, 11042, 11663, 11126, 11142, 11061, 11863, 11140, 11665, 11630, 11246, 11366, 11036, 11449, 11139, 11437, 11072, 11315, 11086]"
energy_consumed,"[np.float64(0.5265694322965219), np.float64(0.47004102038183854), np.float64(1.0402536464735757), np.float64(0.7686391311924894), np.float64(1.0325486320200343), np.float64(0.5060420236357617), np.float64(1.121345173895298), np.float64(0.7372058367700891), np.float64(0.7225029604958657), np.float64(0.7891710214508322), np.float64(1.0644481195206634), np.float64(0.9686565892074891), np.float64(0.7761845413054642), np.float64(0.7113356486096456), np.float64(0.813778598711786), np.float64(0.7055574652577613), np.float64(0.8224421682267881), np.float64(0.6602869720490949), np.float64(1.0059872837709636), np.float64(0.859622448262187), np.float64(0.5738202642504229), np.float64(0.8367827364157506), np.float64(0.8185394724756463), np.float64(0.821339699952064), np.float64(0.9624638784781359), np.float64(0.7715856399160385), np.float64(0.69487979124993), np.float64(0.6206597412540391), np.float64(0.6915884709729567), np.float64(0.9002283423279535), np.float64(0.6456266500371036), np.float64(1.0488699054487318), np.float64(0.6701702219889307), np.float64(0.5544313261681948), np.float64(0.660407402896001), np.float64(0.8299292641126351), np.float64(0.6254231653778461), np.float64(1.0533150859803935), np.float64(0.9174012025504882), np.float64(0.9292824702942476), np.float64(0.9671499410004318), np.float64(0.904799520461537), np.float64(0.6423440319181464), np.float64(0.6763765698814319), np.float64(0.9634971219384727), np.float64(0.6468218343645451), np.float64(0.622527914616256), np.float64(0.9974073327898478), np.float64(0.5592937403550858), np.float64(0.5853199176590356), np.float64(0.7014623862050461), np.float64(0.6545172459382135), np.float64(1.0546817386670548), np.float64(0.7750578192697318), np.float64(0.5688414982552613), np.float64(1.0333027917028088), np.float64(0.623441215361498), np.float64(0.7470067316303991), np.float64(1.0892845155797295), np.float64(1.0775206221557625), np.float64(0.781955997790493), np.float64(0.8062232959588006), np.float64(0.6468259766620523), np.float64(0.7971798816099772), np.float64(0.6024228823512802), np.float64(0.7723339255833682), np.float64(0.7139474235462078), np.float64(0.8296914059467229), np.float64(0.9115198831505154), np.float64(0.4482499264443134), np.float64(0.626771625919454), np.float64(0.9451088499832166), np.float64(0.9961350182500808), np.float64(0.7701994511775538), np.float64(0.9887140451508439), np.float64(0.7049907061544036), np.float64(0.8304382247830618), np.float64(0.6870959439409164), np.float64(0.5663475556207876), np.float64(1.0957562477821312), np.float64(0.40790055395232383), np.float64(0.9986211416690842), np.float64(1.0813233603568766), np.float64(0.7763793836192678), np.float64(1.0377380131850622), np.float64(1.0195685806661052), np.float64(1.064264597235687), np.float64(0.644624012931568), np.float64(1.024296560568688), np.float64(0.6787342113044784), np.float64(0.7185899437700304), np.float64(0.9852652050383381), np.float64(0.911506435448987), np.float64(1.0621690555289458), np.float64(0.8718491018341891), np.float64(1.0806644439941286), np.float64(0.872343642129704), np.float64(1.0570441523944876), np.float64(0.9502204417621714), np.float64(1.0666448530112478)]"
variance_after_settling,"[np.float64(0.02319760565463526), np.float64(0.021061091068957562), np.float64(0.01131478303217216), np.float64(0.019813897736138873), np.float64(0.012586855772241754), np.float64(0.025280135818179946), np.float64(0.010196958841719294), np.float64(0.017832608919709506), np.float64(0.017625565331686494), np.float64(0.015712169227210353), np.float64(0.011514219702230445), np.float64(0.012987901286014774), np.float64(0.016753916789802627), np.float64(0.015833453475119542), np.float64(0.01671680849523205), np.float64(0.017116654812246217), np.float64(0.01716060827219407), np.float64(0.018192637026612838), np.float64(0.011644454210052226), np.float64(0.015795672316625004), np.float64(0.024114258441943634), np.float64(0.01567607846257301), np.float64(0.01608769608946006), np.float64(0.015160822600944309), np.float64(0.013517252747085847), np.float64(0.020562868042337208), np.float64(0.01986776403397687), np.float64(0.02145222470035786), np.float64(0.017183646989751413), np.float64(0.01523957848543903), np.float64(0.019216546992933427), np.float64(0.011603343823716174), np.float64(0.01831201719355492), np.float64(0.02306558845443043), np.float64(0.018350598015685095), np.float64(0.015782209569458444), np.float64(0.01945518916873684), np.float64(0.012058495611926321), np.float64(0.014361492340571594), np.float64(0.014255518600173376), np.float64(0.014313774698596085), np.float64(0.012969441459267171), np.float64(0.021276041692351935), np.float64(0.01912855835445017), np.float64(0.014294225924227437), np.float64(0.018501956515845408), np.float64(0.0232379389449711), np.float64(0.012700228184020137), np.float64(0.022352150432739134), np.float64(0.019792168358430784), np.float64(0.017530325168598135), np.float64(0.018530230854085148), np.float64(0.011344736964429974), np.float64(0.017537822573021142), np.float64(0.02151251225342466), np.float64(0.011913480999533353), np.float64(0.021516180474729293), np.float64(0.017500785709738686), np.float64(0.0108150855790256), np.float64(0.011017104407265853), np.float64(0.018894157030103477), np.float64(0.01615761076793043), np.float64(0.019340875874653336), np.float64(0.016328657127058804), np.float64(0.022505615573512962), np.float64(0.01586991189556473), np.float64(0.017308515013623696), np.float64(0.016536285908650035), np.float64(0.014760649701368261), np.float64(0.02662237332012846), np.float64(0.019952721412165062), np.float64(0.014833830520171277), np.float64(0.011569990891723926), np.float64(0.016157173940358194), np.float64(0.013121320173979222), np.float64(0.017946823972041535), np.float64(0.015985442947885026), np.float64(0.018520266144273052), np.float64(0.01867898407328989), np.float64(0.010428526181943634), np.float64(0.029253921801858263), np.float64(0.012793464223456674), np.float64(0.01107214842138285), np.float64(0.015917080094083914), np.float64(0.012114412771856821), np.float64(0.012483377589924096), np.float64(0.011759271345492485), np.float64(0.0186067683489174), np.float64(0.012844804274512176), np.float64(0.021785363452233697), np.float64(0.02030980031648173), np.float64(0.012648184598305658), np.float64(0.01436242037096106), np.float64(0.01173224559149805), np.float64(0.015216523775554047), np.float64(0.010103019934474263), np.float64(0.01549023875082944), np.float64(0.011048508889936554), np.float64(0.013353352581352765), np.float64(0.011225020849737845)]"
recovery_time,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
number_of_oscillations,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
